"timeMillisSpent","score"
0,"-25hard/15soft"
16,"-24hard/26soft"
16,"-24hard/31soft"
16,"-24hard/32soft"
16,"-24hard/33soft"
16,"-24hard/35soft"
16,"-23hard/46soft"
16,"-23hard/52soft"
16,"-23hard/53soft"
16,"-23hard/55soft"
16,"-22hard/65soft"
31,"-21hard/42soft"
31,"-21hard/56soft"
31,"-21hard/58soft"
31,"-21hard/59soft"
31,"-21hard/61soft"
31,"-21hard/62soft"
31,"-21hard/63soft"
31,"-21hard/65soft"
47,"-21hard/68soft"
47,"-21hard/69soft"
47,"-21hard/71soft"
47,"-21hard/77soft"
47,"-21hard/78soft"
47,"-21hard/80soft"
47,"-21hard/81soft"
47,"-20hard/71soft"
47,"-20hard/86soft"
47,"-20hard/87soft"
47,"-20hard/88soft"
47,"-20hard/90soft"
62,"-20hard/91soft"
62,"-20hard/96soft"
62,"-20hard/97soft"
62,"-20hard/98soft"
62,"-20hard/100soft"
62,"-20hard/101soft"
62,"-19hard/101soft"
78,"-19hard/102soft"
78,"-19hard/103soft"
78,"-19hard/104soft"
78,"-19hard/105soft"
78,"-19hard/106soft"
78,"-19hard/107soft"
78,"-19hard/112soft"
